feature,importance_mean,importance_std
delta2_mfcc_std_0,0.04399499940718952,0.011026422431925172
mfcc_mean_3,0.02151323058527836,0.0059036719990939405
rms_energy_std,0.020718393550731004,0.005329966341690869
mfcc_mean_11,0.01938087380715033,0.005062079639131117
mfcc_mean_5,0.018904517609840524,0.00593290369355338
spectral_contrast_mean,0.01822539008944805,0.005158999265528994
spectral_rolloff_std,0.016292437139790575,0.0028201891814603527
rms_energy_mean,0.015638087936127774,0.004410802973216608
mfcc_mean_8,0.014938597530141684,0.00365943086983064
mfcc_mean_4,0.014289050047813742,0.004300699720754037
pitch_mean,0.014032851437359899,0.004686721683376138
mfcc_mean_12,0.013554930997821827,0.003800990876969819
delta_mfcc_std_4,0.012590077536719858,0.0021290093652283496
spectral_bandwidth_mean,0.012405626959055968,0.0042990426538267595
mfcc_mean_9,0.012031916511423924,0.00474120956440379
spectral_flatness_std,0.011583657126262813,0.004590947675444407
delta_mfcc_std_0,0.011462011463401749,0.00398274896553521
pitch_max,0.011368145235272971,0.0025926709574183118
mfcc_mean_10,0.011207606424771048,0.003681032805027131
spectral_bandwidth_std,0.010406349139699142,0.00299203359998222
mfcc_mean_7,0.009887456377895187,0.0031430513771575352
mfcc_mean_1,0.009772984636043909,0.005192165437590895
mfcc_mean_6,0.009670331782236797,0.002490602867943109
mfcc_std_2,0.009646471310958622,0.0028373493039995368
mfcc_mean_0,0.009614588503497383,0.004351530298638772
delta2_mfcc_std_1,0.009338415017096624,0.0038824441414686143
mfcc_std_1,0.009187703083538112,0.0033812866833878774
spectral_flatness_mean,0.009163743881852593,0.003893539697348535
delta2_mfcc_std_4,0.008967422674619889,0.0019204956664382689
mfcc_std_4,0.008765682980167267,0.0026396855604017178
zero_crossing_rate_mean,0.008018847681169028,0.0024329446253473336
mfcc_mean_2,0.007926764715388645,0.004248268434693726
energy_env_std_db,0.007852222517215379,0.002269762226313592
mfcc_std_10,0.007669264746661771,0.0031445856983151974
delta2_mfcc_std_8,0.007617386185857389,0.004438945230571234
energy_env_mean_db,0.007397270594538903,0.0030102526018888336
delta2_mfcc_std_3,0.006914770434118767,0.0032177529455950918
delta_mfcc_std_8,0.006533839364537619,0.002403849566282008
spectral_rolloff_mean,0.006506990623979843,0.005004251353198062
pitch_min,0.006432498938271151,0.002380823951470681
mfcc_std_11,0.00629164979516057,0.0028022117891477296
spectral_centroid_std,0.006228405345074287,0.0019494360775302894
spectral_contrast_std,0.0061711022843192005,0.0031759309163139193
voiced_ratio_pyin,0.006155924118628634,0.006274929984307203
delta_mfcc_std_1,0.006132315980853324,0.002798262536435105
spectral_centroid_mean,0.006020890590737589,0.004289817058813306
delta_mfcc_std_7,0.005758291164912058,0.0028803134716147375
delta2_mfcc_std_2,0.005742548571062977,0.0034794613466842383
delta_mfcc_mean_2,0.005708665317240791,0.0014916747842797333
delta2_mfcc_std_5,0.005675114991871233,0.0021391982346708393
mfcc_std_3,0.005295893583285334,0.0026843176849742447
delta2_mfcc_std_9,0.005245997868829681,0.0032562112862036074
delta_mfcc_mean_0,0.004937966463270227,0.0016134296440495622
delta_mfcc_std_6,0.0048840200175579,0.002166294887569389
delta_mfcc_std_10,0.004851390253092484,0.0022207709123706607
delta_mfcc_std_5,0.004824915845681225,0.0023609917970362428
mfcc_std_7,0.004815344367060703,0.0028950661112546886
delta_mfcc_std_9,0.004720232962181788,0.003229340046769116
mfcc_std_8,0.004690909900846381,0.002899216321443936
zero_crossing_rate_std,0.004595634755082593,0.004172469332751724
delta_mfcc_mean_4,0.0044852776199556,0.0018099185446829424
mfcc_std_6,0.004466843018300611,0.0036133447052574684
speech_rate_proxy,0.004453719108951397,0.002955589561854904
delta2_mfcc_mean_6,0.004287043377084106,0.001999481688517868
mfcc_std_9,0.00407236460462949,0.001796090644430886
pitch_range,0.003928999536518596,0.0021531015004838195
delta_mfcc_mean_3,0.003728080733757988,0.002260683526831926
delta2_mfcc_mean_11,0.003727590632205913,0.0018484863090914587
delta2_mfcc_mean_5,0.0036376993244769283,0.001992261160086915
delta_mfcc_mean_6,0.003599956707626421,0.0021745512336690466
delta2_mfcc_mean_2,0.0034937222649617777,0.002021888894955146
delta2_mfcc_std_10,0.0033286978591478816,0.002334636547861836
mfcc_std_5,0.0030396796566005396,0.0022050917496324257
delta2_mfcc_std_11,0.0029566740171622936,0.0023735776627928124
delta_mfcc_mean_7,0.002927021873726184,0.0021524844274403323
delta2_mfcc_mean_1,0.0029031513566978233,0.0023504739269072914
delta_mfcc_mean_1,0.00277581818195561,0.001811756949273658
delta_mfcc_std_12,0.002697230181256005,0.0017853989312203887
delta2_mfcc_mean_4,0.002569454137517302,0.0022403424653779946
delta2_mfcc_std_7,0.0022148337204827375,0.0023836490996562735
delta_mfcc_mean_9,0.0019179730385466313,0.0016937721801169902
delta2_mfcc_mean_8,0.0017531310767202157,0.0021581615276267826
delta_mfcc_std_11,0.0016122526893775173,0.001765715630378429
delta2_mfcc_mean_3,0.0015338430845408164,0.0013137587895399405
delta_mfcc_mean_10,0.0014748077316265448,0.002137655981566056
delta_mfcc_mean_8,0.0012592582331890497,0.0014851763370795595
mfcc_std_0,0.0010961338622079634,0.002822308953481553
delta2_mfcc_std_6,0.001079277405817251,0.0028143593191213754
delta2_mfcc_std_12,0.0009279098586688554,0.00254285215289508
delta2_mfcc_mean_0,0.0009227392301836371,0.002057072748014345
mfcc_std_12,0.0008417675273735121,0.0024514139467272478
delta_mfcc_mean_5,0.0008023111419504255,0.001497462673107667
delta_mfcc_std_2,0.0005343520129782157,0.003141223144634643
delta_mfcc_std_3,0.000516890295075186,0.002409916599516802
delta2_mfcc_mean_9,0.0004423307567864428,0.0021229782683451696
pause_ratio,0.000378189247102149,0.002642147826755383
delta_mfcc_mean_12,0.0001361907264532336,0.0015390505794142934
f2_std,0.0,0.0
f3_std,0.0,0.0
f1_mean,0.0,0.0
f2_mean,0.0,0.0
f1_std,0.0,0.0
f3_mean,0.0,0.0
voiced_unvoiced_ratio,-2.2890577209218796e-05,0.002215284368297575
pitch_std,-7.814034634444263e-05,0.002205502584986505
delta2_mfcc_mean_10,-0.0002774812105072577,0.0015878068465952381
delta_mfcc_mean_11,-0.0005111118245234654,0.001361642151439175
delta2_mfcc_mean_12,-0.0005804708227111692,0.0019840029607977603
delta2_mfcc_mean_7,-0.0021872306412588378,0.0015300464564365346
