feature,importance_mean,importance_std
mfcc_mean_4,0.05142801834042525,0.010254548609175488
mfcc_mean_9,0.033687275269934945,0.005787994364358095
mfcc_mean_8,0.03185482780462731,0.006565742268607573
mfcc_std_4,0.03006002107615421,0.005268865210732224
delta2_mfcc_std_0,0.029672974640036213,0.006505082631601808
delta_mfcc_std_1,0.028124567013308358,0.005418949326614261
mfcc_mean_3,0.02756165156505071,0.00560096079523725
mfcc_mean_5,0.027269794202726808,0.007605556250647856
mfcc_mean_11,0.0270393446121527,0.0106301035534559
mfcc_mean_10,0.026111176336665605,0.0063631264591913275
mfcc_mean_12,0.025943209374466036,0.008625136778532366
mfcc_mean_7,0.02579065770100742,0.0056033336918131955
spectral_contrast_mean,0.024315790237330517,0.006187771388257254
pitch_mean,0.02395293156900357,0.006487149699787539
zero_crossing_rate_std,0.02263798548739271,0.004441116068584177
delta2_mfcc_std_2,0.02248264487358175,0.006612226544003116
mfcc_std_1,0.02213542560602581,0.004922960528015193
delta2_mfcc_std_11,0.021069099096049267,0.005211041731673903
delta2_mfcc_std_3,0.020481498403208172,0.004390246153764374
mfcc_mean_2,0.02044188864287325,0.007679329246179928
spectral_bandwidth_std,0.0201378514066935,0.0055322440260734546
mfcc_std_6,0.01998901039501389,0.006525656804883036
mfcc_std_3,0.01832764402689242,0.003826817526963717
mfcc_std_5,0.01737907164549576,0.0050589784997850384
delta_mfcc_mean_9,0.017309790699344973,0.0040205188244476255
spectral_rolloff_std,0.01718077299531744,0.008639589098517348
delta_mfcc_std_4,0.016846132889331678,0.0052109600929532785
spectral_flatness_mean,0.016741018510419314,0.004947410299850594
delta_mfcc_std_3,0.016733585457009523,0.004262243193266642
energy_env_std_db,0.016471712158587153,0.005284224441857246
voiced_ratio_pyin,0.015866442637310164,0.009231029381274148
mfcc_mean_0,0.01536056174203464,0.006275803823199038
zero_crossing_rate_mean,0.015183112197840468,0.005842320315305134
mfcc_std_7,0.014583072559122582,0.006162309353843489
mfcc_std_9,0.014520999436377005,0.0069219892470708975
mfcc_mean_6,0.014494461701004198,0.005905293905224586
energy_env_mean_db,0.013872497455114178,0.005829816738364916
delta2_mfcc_std_1,0.013868740537491616,0.005838553403331117
mfcc_std_0,0.01383018290175974,0.007064501886892207
spectral_contrast_std,0.013820103983087603,0.007075605468909704
delta_mfcc_std_0,0.013565810407050228,0.006884468074031857
rms_energy_std,0.012634142008711779,0.006766898612633886
mfcc_std_12,0.01249119744541379,0.004874877417325565
delta2_mfcc_std_4,0.012405309014614,0.0058154407165732095
mfcc_std_2,0.011866973295115657,0.004382100227081427
delta2_mfcc_std_6,0.01164197053448582,0.004724079548954561
spectral_centroid_std,0.011004024404506312,0.004324854861009655
delta_mfcc_std_6,0.010847530913385188,0.005268847057646851
delta_mfcc_std_8,0.010822408580244629,0.004242973144917278
delta2_mfcc_mean_7,0.010730903621312593,0.005182466560732573
delta2_mfcc_mean_8,0.00973644377497241,0.003695423430998124
spectral_flatness_std,0.00969491968091946,0.005661481101861905
pause_ratio,0.009316729827908373,0.0038985505779581086
spectral_rolloff_mean,0.009303569187981187,0.004437741416563925
mfcc_std_10,0.008960980922710226,0.005742867841781846
delta2_mfcc_std_5,0.008560301101265266,0.004833135324576738
delta_mfcc_std_2,0.008233744037938535,0.005062105221874397
delta_mfcc_mean_7,0.00780242424027382,0.004525172428845671
delta2_mfcc_std_9,0.007442512528715647,0.005020492714326404
delta2_mfcc_std_7,0.007295197436463444,0.003400494723545339
delta_mfcc_mean_1,0.0067579839343400025,0.005052346502190003
pitch_min,0.006754600674348217,0.00520627471523233
delta_mfcc_std_7,0.006389606744330748,0.003785710130623548
mfcc_mean_1,0.0062409004220252895,0.006189569878035385
speech_rate_proxy,0.005945478272921741,0.004926124754123915
delta_mfcc_mean_12,0.0058281329736157295,0.003619196611034626
delta2_mfcc_mean_10,0.005729947590025971,0.00502413017247071
delta_mfcc_std_12,0.005599078229682952,0.004313227407512386
delta2_mfcc_mean_5,0.0055863598994734176,0.006526780787358254
delta_mfcc_mean_2,0.005497000175764258,0.0035708907087913036
delta_mfcc_std_9,0.005161010373847042,0.003817798191399659
delta2_mfcc_mean_3,0.005125565102731115,0.00661148112769534
delta_mfcc_mean_3,0.005074198629265813,0.0027995587127337494
delta2_mfcc_std_10,0.005031729007188194,0.0037634009952887525
voiced_unvoiced_ratio,0.004925227046163072,0.0036372131870610167
delta2_mfcc_std_8,0.0048017194162946735,0.004122754160709605
mfcc_std_11,0.004763661685746653,0.005501584365070426
delta2_mfcc_mean_6,0.004411975202789523,0.005134056581800915
delta_mfcc_mean_5,0.0043336411414122145,0.004114080367836922
delta2_mfcc_mean_2,0.003599433545710484,0.0040049023138871796
delta2_mfcc_std_12,0.00355478892182961,0.004593152692829226
delta_mfcc_std_11,0.003530889213565606,0.003936602091862572
mfcc_std_8,0.0034709385169084655,0.005035589564669952
delta2_mfcc_mean_11,0.0034415594955462536,0.0026919554100020182
