feature,importance
mfcc_mean_5,0.024576359030917382
delta2_mfcc_std_0,0.02282521556280431
mfcc_mean_3,0.0206819259721674
rms_energy_std,0.020642024762628535
rms_energy_mean,0.020489132159459644
spectral_contrast_mean,0.019733131251891904
mfcc_mean_4,0.01930224392456092
spectral_bandwidth_mean,0.01809267734045952
spectral_contrast_std,0.015791726334810786
voiced_ratio_pyin,0.01574532740006167
mfcc_mean_8,0.014819557757590154
mfcc_mean_1,0.014670152272593948
mfcc_mean_11,0.014649436936888886
spectral_flatness_mean,0.014627913135522993
mfcc_mean_2,0.014448426936377915
mfcc_mean_0,0.013989816839990237
spectral_flatness_std,0.013759455208547636
mfcc_mean_7,0.013741129874820165
mfcc_mean_12,0.013507758939940481
spectral_rolloff_std,0.013353340013365515
energy_env_mean_db,0.013202450914583993
delta2_mfcc_std_1,0.012922098409658415
delta2_mfcc_std_2,0.01288434086475574
mfcc_mean_9,0.012758173797830601
spectral_bandwidth_std,0.012697815654256159
spectral_rolloff_mean,0.012661711558952819
pitch_mean,0.012560991015916173
spectral_centroid_mean,0.012254208936414211
zero_crossing_rate_mean,0.011847688191818194
mfcc_mean_6,0.011616198145448639
mfcc_std_1,0.011595814712963634
delta_mfcc_std_1,0.011511654487662368
delta_mfcc_std_0,0.011268003933592083
mfcc_std_2,0.011261911537122533
mfcc_mean_10,0.01096138984480773
delta2_mfcc_std_7,0.010468600678826394
delta2_mfcc_std_3,0.010307355324514697
delta_mfcc_std_2,0.010173471394004163
mfcc_std_0,0.010119283480832698
delta2_mfcc_std_8,0.009902345661058154
delta2_mfcc_std_6,0.009895930903218398
zero_crossing_rate_std,0.00976784945746705
spectral_centroid_std,0.009682456144583363
delta_mfcc_std_4,0.009028072030458011
delta2_mfcc_std_4,0.008975866032499986
delta_mfcc_std_6,0.008851425030506895
delta_mfcc_std_7,0.008763356733587762
mfcc_std_9,0.008728517079655008
mfcc_std_4,0.008646280226581034
energy_env_std_db,0.0086292812745166
delta2_mfcc_std_5,0.008539494671681597
delta_mfcc_std_5,0.00836847079074788
delta2_mfcc_std_9,0.008322618717651283
mfcc_std_5,0.00831125531235831
mfcc_std_7,0.008270985251320024
delta_mfcc_std_3,0.008221521884522413
mfcc_std_3,0.008215621843352037
mfcc_std_10,0.008115599016738355
delta_mfcc_std_8,0.008107853189051835
mfcc_std_6,0.00797685229823861
mfcc_std_11,0.007881931324215075
delta2_mfcc_std_10,0.007676325158395589
speech_rate_proxy,0.0076673118954795
mfcc_std_12,0.007665973709338379
delta_mfcc_std_10,0.007616523232492085
mfcc_std_8,0.007584115305444838
delta_mfcc_std_12,0.0074932057285799205
delta_mfcc_std_9,0.007471205579724349
pitch_max,0.007324433522352798
delta2_mfcc_std_12,0.007289123086094548
pitch_min,0.0072330826870449375
pitch_range,0.006779446391612186
pitch_std,0.006661684086126818
delta2_mfcc_std_11,0.006470095884836901
pause_ratio,0.005998240353732311
delta_mfcc_std_11,0.00592876759542784
delta2_mfcc_mean_0,0.005888264592506
delta2_mfcc_mean_5,0.005810097243288523
delta_mfcc_mean_0,0.005795037222648972
delta2_mfcc_mean_4,0.005594896182965488
delta_mfcc_mean_2,0.005555836579442916
delta2_mfcc_mean_1,0.005404357564041782
delta2_mfcc_mean_10,0.005376799086728677
delta2_mfcc_mean_2,0.005363298399487931
delta2_mfcc_mean_12,0.005330445519426
delta_mfcc_mean_4,0.005309348011069779
voiced_unvoiced_ratio,0.005294892456702566
delta_mfcc_mean_3,0.005276550394462224
delta2_mfcc_mean_7,0.0052490821385155146
delta_mfcc_mean_12,0.005188993505174058
delta2_mfcc_mean_3,0.005124520604122625
delta_mfcc_mean_9,0.005088869632100877
delta_mfcc_mean_10,0.0050194310075943015
delta2_mfcc_mean_8,0.004994441193565125
delta_mfcc_mean_7,0.004992409241036025
delta_mfcc_mean_5,0.004962296419472732
delta2_mfcc_mean_11,0.0048176696512376195
delta_mfcc_mean_1,0.004812182184072089
delta_mfcc_mean_11,0.004739204498377142
delta_mfcc_mean_8,0.00467228142338661
delta_mfcc_mean_6,0.004650804327760032
delta2_mfcc_mean_6,0.004626541146475202
delta2_mfcc_mean_9,0.004478416144285437
f1_mean,0.0
f1_std,0.0
f2_mean,0.0
f3_std,0.0
f2_std,0.0
f3_mean,0.0
